number of refrigerator,under 20,20 to 40,40 to 60,60 to 80,80 to 100,100 to 120,120 to 140,140 or more
0,0.4,0,0,0,0,0,0,0
1,18.8,21,13.6,10.1,5.7,4.8,2.9,5.1
2 or more,3.2,5.9,5,5.2,4,3.4,2.5,6.1
