number of refrigerator,income,household
0,under 20,0.4
0,20 to 40,0
0,40 to 60,0
0,60 to 80,0
0,80 to 100,0
0,100 to 120,0
0,120 to 140,0
0,140 or more,0
1,under 20,18.8
1,20 to 40,21
1,40 to 60,13.6
1,60 to 80,10.1
1,80 to 100,5.7
1,100 to 120,4.8
1,120 to 140,2.9
1,140 or more,5.1
2 or more,under 20,3.2
2 or more,20 to 40,5.9
2 or more,40 to 60,5
2 or more,60 to 80,5.2
2 or more,80 to 100,4
2 or more,100 to 120,3.4
2 or more,120 to 140,2.5
2 or more,140 or more,6.1
